b	家
bvi	官 郫
bw.	敝
bya	宙 宦
byo	公
bye	毕业
byi	父
byu	写
pb;	旁边
ppa	林
ppi	品牌
pma	杩
pmu	相
pm/	排名
pfo	杏
pfu	皮肤
pf;	板
pf,	枋
pd;	判断
pd/	栋
pta	柁
pto	机
pti	平台
ptu	杜
pt/	桐
pne	枘
plo	栳
pl,	漂亮
pl.	评论
pgo	苹果
pgi	术
pg;	杆
pg.	根
pja	桕 柙
pjo	桷
pje	札
pji	杞
pju	枸
pj;	枧
pj/	椋
pqo	杰
pq;	栓
pxi	栖
px,	橡
px.	梓
pzi	枳
pzu	株
pz,	杖 枨
pci	材 柝
pc.	村
pso	杓
psi	平时
ps;	杉
pri	杳
pvo	权
pw,	枉
pw.	枚
pya	柚
pyi	便宜
mba	明白
mbo	欠
mbe	卑 睥
mbi	此 匕
mma	止
mmi	麦
mmu	眉
mm;	慢慢
mm.	皿
mm/	明明
mfa	没法
mfe	罪
mfu	麸
mf;	凡
mda	驮
mdo	彳
mde	面对
mdi	歹
mta	驼
mto	条
mti	媒体
mtu	兔
mt;	明天
mno	鸟
mni	乃
mn;	每年
mla	心
mle	乙
mli	鬲
mlu	鹿
ml.	仑
mga	瓜
mgo	尸
mge	革
mgi	卜
mgu	谷
mg;	每个
mg.	眼 艮
mg/	弓
mka	卡
mho	美好
mja	久 臼
mjo	角
mje	巴
mji	己
mju	驹
mj/	京
mqa	丘
mqe	明确
mqi	气
mq;	犬
mq.	母亲
mq/	肯
mxo	女
mxe	某些
mxi	习
mx;	明显
mx,	象
mx.	辛
mzo	士
mzi	名字
mzu	朱
mz,	丈
mco	没错
mci	斥
mcu	齿
mc;	川 驯
mc,	厂
mc.	寸
mso	勺
msi	水 巳
msu	殳
ms,	马上
ms.	申
mro	巾
mri	旧
mr.	刃
mvo	驭
mwa	瓦
mwo	詈
mwu	乌
mw;	丸
mya	臣
myo	夭 幺
mye	曰
myu	雨
fba	叭
fbo	吹
fbe	啤
fbi	叱
fb;	方便
fpa	呆
fma	吗
fme	中
fmi	唛
fmu	父母
fm;	方面
ffa	方法
ffo	吕
ffe	啡
ffu	呋
fde	反对
fd;	叩
fto	叽
ftu	吐
fno	鸣
fne	呐 呙
fla	悲 吣
fli	嗝
flu	法律
fga	呱
fge	风格
fg.	哏
fg/	哄
fka	咔
fke	韭
fhe	符合
fja	呷
fji	飞机
fj;	规
fqi	放弃
fq;	吠
fq.	父亲
fxa	吓
fxi	哂
fx;	发现
fx,	响
fza	复杂
fze	负责
fzi	返
fzu	足
fz;	发展
fz.	嗔
fz/	反正
fco	叨
fcu	咄
fc,	非常
fsa	分手
fsi	叶
fsu	叫
fs.	呻
fs/	发生
fro	吊
fvo	叹
fvi	邡
fwo	唁
fwe	味
fwu	呜 呒
fw,	呈
fw.	放
fyo	虫 吆
fyi	史
fy/	反应
dbo	次
dbi	死
dpa	米
dpi	彼
dma	冯
dme	丫 丬
dmi	多么
dfo	石
dfe	徘
df,	彷
ddo	列
dde	道德
ddi	到底
dd/	冻
dt;	奋
dna	半
dno	鸫
dn;	当年
dn/	都能
dli	独立
dlu	大陆
dl,	大量
dgo	大概
dgi	太
dg.	很
dke	卫
dki	并
dha	的话
dhe	徊
dja	大家
dje	也
dj/	凉
dqe	的确
dqu	地区
dq;	当前
dxe	归
dxi	东西
dx,	对象
dx.	担心
dx/	况 兑
dzo	动作
dzi	达
dzu	殊
dz,	套
dz/	大众
dcu	当初
dc;	夼
dc.	夺
dso	多少
dsi	车
dsu	役 殁
ds;	兰
ds/	当时
dro	帅
dri	百
dr;	当然
dvi	第二
dv;	答案
dwe	单位
dwu	动物
dyi	第一
dyu	对于
dy/	电影
tbo	坎
tbe	埤
tbi	特别
tpa	朵
tpi	坡
tp;	图片
tma	址
tmu	题目
tm.	她们
tfa	头发
tf;	坂 畈
tf,	坊
tdo	提到
tde	团队
tdi	夙
tdu	态度
td;	特点
tta	坨
ttu	圭 堍
tt;	天天
tt/	垌
tn/	畀
tla	思
tli	塥
tl.	讨论
tgo	通过
tg,	圹
tg.	垠
tg/	提供
tku	痛苦
tho	赤
tji	圮
tj;	推荐
tq;	畎
tq/	胃
txe	同学
txi	体系
tx;	体现
tx,	垧
tzi	逸
tzu	走
tz.	填
tci	坼
tcu	提出
tc;	圳
tc,	通常
tc.	寺
tso	听说
tsi	圯
ts;	同时
ts.	坤
ts/	提升
tr;	突然
tr.	他人
tvo	凤
twu	坞
tw;	台湾
tw.	畋
tyo	去
tyi	风
ty;	体验
ty,	同样
nba	扒
nbe	捭
npa	枭
npi	披
nma	扯
nmo	抹
nme	屮
nmi	那么
nmu	看
nm;	挽
nm.	你们
nm/	匿名
nfo	扣
nfe	排
nfu	扶
nf;	扳
nda	央
ndo	难道
ndi	年代
nta	鸵
nto	凫
ntu	冉
nt;	那天
nna	用
nne	击
nni	扔
nli	那里
nl,	能量
nl.	抡
nl/	拐
nga	能够
nge	那个
ngi	及
ng,	扩
ng/	拱
nke	囗
nha	岛
nho	你好
nhi	女孩
nja	押
nje	扎
nju	拘
nj/	掠
nq;	拴
nq/	年轻
nxo	尕
nxe	扫
nxi	那些
nx.	内心
nx/	女性
nzi	逆
nz/	那种
nci	拆
ncu	拙
nsu	投
ns;	且
ns.	抻
ns/	女生
nr.	贝
nr/	内容
nvi	女儿
nv,	抑
nwo	丹
nwu	抚
nw;	执
nya	抽
nye	朔
nyi	冈
ny,	那样
lbe	俾
lbi	化
lb;	老板
lb.	体
lpa	休
lpo	老婆
lme	了 仫
lm;	里面
lfe	俳
lf,	仿
ldo	别
ld;	飞
lta	佗
lto	麂 仉
ltu	丑
lt;	留 佃
lt/	侗
lna	子 孑
lni	仍
ln;	两年
llo	佬
lle	亿
ll,	力量
ll.	伦
lge	两个
lgi	廴
lgu	俗
lg/	供
lka	佧
lke	立 刁
lki	离开
lk;	来看
lha	仙
lho	伙
lhe	力
lhi	厉害
lje	乜
lji	逻辑
lju	佝
lj.	鏖
lq;	伏
lxa	留下
lxo	乐
lxi	联系
lx,	像
lx/	类型
lzo	仕
lzi	例子
lzu	侏 疋
lz,	仗 伥
lz/	两种
lc,	产
lc.	付
lso	来说
lsi	什
ls;	仨
ls,	楼上
ls.	伸
lri	耆
lru	例如
lr.	仞
lvo	仅
lvi	仁
lv,	仰
lwa	佤
lwo	信 隹
lwi	另外
lya	旅游
lyi	交
lyu	领域
ly;	来源
ly/	利用
gbo	欲
gbe	庳
gbi	尼 庀
gb;	改变
gb.	根本
gpa	床
gme	引
gmi	购买
gm;	鞔
gf,	官方
gda	庆
gdo	刊
gd;	观点
gd/	规定
gtu	庄 垦
gno	鹆
gne	门
gn;	概念
gn,	姑娘
gn/	功能
gla	恳
gli	过来
gga	弧
ggo	户
gge	哥哥
ggi	尺
gg,	刚刚
gg.	良
gko	高考
gho	更好
gja	国家
gje	感觉
gji	估计
gju	根据
gj;	关键
gj/	干净
gqo	弗
gqu	过去
gq/	骨
gxa	斤 卞
gxe	感谢
gxi	关系
gx.	更新
gzo	工作
gze	跟着
gzi	退
gzu	关注
gz,	张
gz/	各种
gci	刚才
gcu	屈
gc/	过程
gsa	感受
gsi	巷
gsu	告诉
gri	昔
gr;	果然
gr.	个人
gvi	邝 邗
gwe	各位
gwi	国外
gwu	庑
gya	届 庙
gyo	弘
gyi	义
gyu	关于
kbi	泌
kpa	沐
kpi	波
kma	正
kmo	沫
kme	丁
kmu	泪
km;	浼
kfa	看法
kda	天
kdo	刑
kd/	肯定
kta	沱
kto	涤
kt/	洞
kna	于
kne	丙
kni	可能
kn/	亓
kla	沁
kle	快乐
kli	看来
klu	漉
kl.	沦
kgo	看过
kgu	浴
kg;	汗
kg/	洪
kk;	看看
kha	汕
kho	灭
khe	洄
khu	客户
kh;	耳
kjo	万
kje	匚
kji	科技
kj;	空间
kj.	淦
kqi	汽 戈
kxo	汝
kxe	科学
kxi	洒
kx.	开心
kze	看着
kzi	控制
kzu	洙
kz.	滇
kco	豕
kc;	卅
kc/	课程
ksa	可是
kso	兀
kse	开始
ksi	汁 汜
ksu	没
ks;	形
kri	汨
kvo	汉
kvi	邢
kw,	汪
kya	油
kyo	沃
kye	汩
ky;	考研
hbo	炊
hpa	禾
hmu	自
hm;	后面
hm.	血
hfo	占
hfu	失
hda	回答
hdo	很多
hde	获得
hd/	岽
hto	虎
hti	话题
htu	灶
ht;	后天
ht/	峒
hna	牛
hni	还能
hn/	升
hla	虑
hlo	后来
hle	九
hli	回来
hgo	卢
hgi	入
hgu	峪
hg/	烘
hke	业
hki	岍
hk;	好看
hha	灿
hho	炎
hhe	呵呵
hja	岬
hji	岂 屺
hju	岣
hj;	岘
hj/	环境
hqi	乇
hqu	回去
hxe	虐
hxu	或许
hx,	好像
hx.	核心
hzo	卓 壬
hze	或者
hzi	炽
hci	好吃
hso	灼
hsi	千
hro	币
hri	白
hvo	生
hya	岫
hyo	还要
hye	舟
hyi	还有
hyu	屿
hy/	欢迎
jb.	基本
jpa	余
jmu	节目
jfo	合
jfe	诽
jf,	访
jdo	见到
jde	觉得
jdu	角度
jd;	即 衤
jd/	决定
jto	讥
jti	具体
jt;	今天
jt/	家庭
jno	鸭 鸲
jne	讷
jn;	今年
jn/	舁
jla	忌
jli	进来
jlu	记录
jl,	尽量
jl.	论
jga	觚
jgo	结果
jge	价格
jgi	夕 礻
jg;	讦
jke	鱼
jk,	健康
jha	讪
jho	灸
jhe	结合
jhu	几乎
jh.	结婚
jje	饣
jji	记
jj.	仅仅
jj/	谅
jqo	技巧
jqu	进去
jq;	诠
jq/	剧情
jxo	尔
jxe	刍
jxu	继续
jx/	进行
jzo	简直
jzi	识
jzu	诛
jca	警察
jci	诉
jcu	诎
jc;	训
jc,	经常
jc.	讨
jsa	接受
jso	介绍
jse	角色
jsi	计
jsu	设
js;	就算
js,	让
js.	精神
js/	即使
jra	肌肉
jru	进入
jr;	居然
jr.	认 臾
jr/	金融
jvi	里
jw.	改
jya	具有
jyo	就要
jye	基于
jyi	建议
jyu	鼠
jy;	经验
qba	兵
qbo	钦
qbe	区别
qbi	铋
qbu	全部
qb.	钵
qpi	铍
qmu	钼
qm;	前面
qfo	右
qf;	钣 钒
qf,	钫
qda	强大
qdo	钊
qd/	确定
qta	铊
qto	其他
qti	前天
qtu	钍
qt;	钿
qt/	铜
qne	钠
qni	氖
qn;	去年
qlo	铑
qle	钇
qli	镉
qgo	全国
qgi	乓
qg.	银
qk,	情况
qha	岳 氙
qho	灰 钬
qhe	乒 氕
qja	钾
qje	尢 钆
qj;	期间
qqo	氘
qq;	铨
qq/	有
qxo	钕
qxu	情绪
qx.	锌
qzu	铢
qz.	镇
qz/	其中
qco	切
qci	其次
qcu	清楚
qc;	钏 氚
qso	钓
qse	其实
qsi	针
qsu	确实
qs;	钐
qro	布
qvo	友
qvi	邱
qwu	钨
qya	铀
qye	钥
xbe	婢
xbi	相比
xpa	栗
xma	妈
xme	肀
xmi	下面
xmu	项目
xm;	娩
xfa	想法
xfo	如
xfu	幸福
xf,	妨
xda	尖
xdo	许多
xde	相对
xdi	现代
xd;	印
xd,	相当
xti	心态
xtu	尘
xt;	夏天
xt/	系统
xna	聿
xni	奶
xla	忑
xlo	姥
xle	系列
xli	下来
xl;	训练
xgo	效果
xge	性格
xgi	修改
xg;	奸
xg,	香港
xke	工
xki	妍
xho	灵
xhe	少 尹
xhi	小孩
xh;	喜欢
xje	氏
xji	妃
xqa	需求
xqi	想起
xqu	下去
xq/	心情
xxo	要
xxe	妇
xxi	羽
xx,	现象
xx.	相信
xzo	覃
xze	选择
xzi	下载
xzu	姝
xc;	宣传
xc.	寻
xc/	形成
xsa	享受
xso	妁
xsi	现实
xs/	学生
xvo	奴
xvi	酉
xwe	妹
xwi	下午
xwu	妩
xw,	希望
xw.	新闻
xya	妯
xyo	妖
xye	需要
xy.	吸引
zbe	准备
zbu	这部
zb.	笨
zpa	采
zp;	照片
zp.	作品
zma	笃
zmo	怎么
zme	声
zmi	这么
zm.	咱们
zm/	证明
zfo	吉
zfu	政府
zda	矢
zdo	找到
zde	值得
zd;	重点
zd/	主动
zti	状态
zt;	昨天
zt/	筒
zni	怎能
zn/	只能
zla	志
zlo	治疗
zle	乞
zli	这里
zlu	簏
zl,	质量
zga	足够
zgo	中国
zge	整个
zg;	竿
zki	笄
zha	缶
zho	最好
zhi	之后
zhu	最后
zja	舀
zje	直接
zju	笱
zj;	觅 笕
zj.	最近
zqa	追求
zqe	正确
zqi	之前
zq;	筌
zxo	妥
zxi	这些
zx.	真心
zzo	真正
zze	作者
zzi	正在
zz/	这种
zco	豸
zce	政策
zci	支持
zcu	做出
zc,	正常
zc/	造成
zso	至少
zsi	午
zs;	髟
zs,	早上
zs.	自身
zr;	自然
zvi	竺 邾
zwo	掌握
zwe	作为
zwi	中午
zw.	中文
zya	笛
zyo	笑
zye	专业
zyi	只有
zyu	在于
zy;	资源
zy,	怎样
zy.	只要
zy/	作用
cbo	芡
cbe	萆
cb.	苯
cp.	产品
cma	芷
cmo	茉
cmu	苜
cm.	出门
cfo	召
cfe	菲
cfu	芙
cf;	吃饭
cf,	芳
cdu	程度
cd;	节
ctu	菟 芏
ct;	苗
ct/	茼
cna	芈
cno	茑
cne	芮
cni	艿
cn/	才能
cla	芯
clo	材料
cle	艺
cli	出来
cgo	超过
cg.	茛
cg/	芎
cko	参考
cke	廿
che	茴
cja	参加
cjo	超级
cji	芑
cju	苟
cj;	苋
cj/	曾经
cqi	戊 戌
cqu	出去
cq;	厌 荃
cxo	从小
cxi	茜
cxu	程序
cx;	出现
cx.	莘
czo	草
czi	过
czu	茱
cz;	存在
cz,	苌
cz/	初中
ccu	茁
cso	芍
csi	城市
csu	芟
cs/	产生
cr.	仄
cvo	从而
cvi	甘
cwe	成为
cwu	芜
cw;	芄
cye	创业
cyi	艾
sbi	失败
sb;	随便
spa	耒
sp.	视频
sp/	水平
sme	丰
sm;	上面
sm/	说明
sfa	是否
sfo	古
sfe	悱
sfu	舒服
sf.	身份
sdo	受到
sdi	爿
sdu	速度
sd;	匀
sti	身体
st;	甸 甾
st/	恫
sn;	少年
sn/	异 卉
sla	忐
sle	忆
sli	上来
sge	三个
sg.	恨
sko	思考
ske	上课
sha	时候
sho	生活
she	犭
shi	伤害
shu	似乎
sjo	时间
sje	世界
sji	设计
sju	数据
sj;	觉
sj/	惊
sqo	事情
sqi	忾
squ	上去
sq/	肖
sxa	剩下
sxe	当
sxi	熟悉
sx;	首先
sx,	思想
sx/	克
sze	甚至
szi	巡
sz,	怅
sz.	慎
sco	忉
sc;	生产
sc,	市场
sc.	导 忖
sso	搜索
sse	宿舍
ssi	包
ss,	身上
sri	旬
sru	收入
sr;	虽然
svo	支
svi	勿
swo	訇
swe	所谓
swi	上午
swu	怃
sw.	收
sya	所有
syo	勾
syu	属于
sy;	实验
sy.	声音
sy/	使用
rb.	日本
rpa	果 杲
rpi	帔
rma	企
rm;	晚
rm.	人们
rf;	帆
rne	禺
rla	忍
rle	今
rg;	旱 旰
rg,	旷
rg.	食
rke	旦
rho	炅
rhe	如何
rhi	任何
rja	人家
rje	电
rj;	软件
rj/	景 晾
rqo	介
rqi	曳
rxa	如下
rxi	晒
rx,	晌
rzi	帜
rzu	是
rz,	帐
rz.	认真
rci	如此
rc,	日常
rc.	时
rsi	认识
rs/	人生
rri	昌
rr;	仍然
rr.	从
rvi	然而
rv,	昂
rwe	昧
rwi	认为
rwu	任务
rw,	旺
rye	明
ryi	容易
ry;	人员
vbo	欢
vbe	陴
vpi	陂
vme	亍
vf;	阪
vf,	防
vda	头
vd;	韦
vd/	陈
vta	陀
vtu	圣
vno	鸡
vli	隔
vgi	叉
vg.	限 艰
vke	纟
vhe	乡
vje	亏
vj;	观
vqo	井
vqe	而且
vqi	戋
vq;	安全
vq/	青
vxo	示
vx.	辟
vza	欧洲
vzo	按照
vzi	迎
vc.	对
vso	元
vsi	斗
vri	阳
vr.	队
vvo	双
vvi	邓
vw.	敖
vyo	云
vye	阴
vyi	而已
vy;	而言
wpi	玻
wma	玛
wme	完美
wm;	外面
wfa	无法
wfo	各
wda	问答
wdo	味道
wd/	稳定
wto	亢 玑
wti	问题
wtu	主
wt;	备 亩
wn/	弄
wlo	网络
wli	未来
wl.	无论
wgi	玉
wg/	珙
wha	文化
who	亦
wja	玖
wje	亡
wj;	现
wj/	琼
wq;	完全
wzi	位置
wzu	珠
wz;	网站
wz,	文章
wci	为此
wc/	完成
ws,	晚上
wro	市
wvi	冬 邬
ww,	往往
ww.	玫
wyo	玄
wyi	文
ybo	欤 肷
ybe	脾
ybu	一部
yb;	一般
yb.	一本
ypa	杀
yp;	一篇
yme	要么
ym/	一名
yfo	台
yfe	腓 霏
yfu	肤
yf,	肪
yf.	一份
ydo	刈 刖
yde	一堆
ydi	一定
ydu	阅读
yd;	一点
yd/	胨
yto	肌
ytu	肚
yt;	雷
yt/	胴
yne	凶 肭
yn;	一年
yn/	弁
yle	幻
yli	膈
yga	胍
ygo	应该
yg;	肝
yg/	员工
yka	胩
yki	一块
yha	岙
yho	也好
yhu	用户
yh;	以后
yh,	银行
yja	胛
yje	甩
yji	以及
yju	朐
yj;	一件
yj/	已经
yqa	要求
yqo	乔
yqe	一切
yqi	毛
yqu	一起
yq;	以前
yq.	一群
yq/	胄
yxa	一下
yxo	糸
yxe	雪
yxi	游戏
yxu	也许
yx;	一些
yx,	影响
yx/	英雄
yzo	一直
yzi	迪
yz,	胀
yz/	一种
yco	因此
yci	一次
yc,	一场
yc.	肘
yso	允
yse	颜色
ysi	优势
ysu	股
ys;	肜
ys,	以上
ys.	胂
ys/	医生
yr;	依然
yr.	有人
yvi	邮
ywe	以为
ywu	业务
yw.	英文
yya	拥有
yye	朋
yyi	爻
yyu	由于
yy;	医院
yy,	一样
yy.	原因
yy/	运营
bbf	蜜
bbl	穷
bbh	究
bbq	穿
bld	宿
blg	痛
bkf	富
bkr	宣
bky	室
bhb	寒
bhj	农
bjm	瘦
bsm	割
bvs	冠
bwf	额
byj	爹
ppj	梦
ppv	禁
pdm	杯
pgy	横
pjs	检
psr	棒
prl	枪
pwy	核
mmh	频
mtq	默
mjg	逻
mvb	背
fmb	嘴
fmk	距
fmh	跳
fms	跑
ffm	患
ffq	器
fnl	啦
flh	咖
fgp	嘛
fkf	呵
fhn	哦
fzd	施
fzl	旅
fzc	旗
fsn	遗
fsc	喷
frs	喝
dpb	粉
dpn	粗
dpg	糖
dpj	断
dps	糊
dpv	精
dmg	否
dmj	将
dmz	装
dfd	碰
dfl	卷
dfk	硬
dfw	碎
dtt	街
dnv	耐
dgm	州
dkb	益
dkf	养
dkd	送
dkn	差
dkh	普
dkq	剪
dkx	兼
djd	衡
dxv	尊
dsm	德
dsf	辑
dsl	较
dsg	暂
dsk	辆
dsj	输
dsv	轻
drl	冷
dvx	径
tdm	坏
tds	载
ttg	戴
tlk	境
tlw	截
tzk	越
tzc	超
tcj	塔
tsd	墙
nbb	控
nbd	挥
nbj	擦
nmt	摆
nfn	损
ndf	圈
ndk	恩
nnk	删
ngm	抓
ngk	握
ngx	哲
nkg	拒
nkh	摄
nhd	播
nhl	抛
nhz	挺
nhs	括
nhy	搬
njm	搜
nqj	扰
nxj	抵
nzd	拖
nzz	摇
ncj	搭
ncs	撕
ncr	摸
nsf	固
nsl	助
nsg	救
nrd	赚
nrl	抢
nrh	贴
nrs	购
nvd	围
nvs	园
nwn	搞
nwl	势
lbd	倾
lbn	货
lms	承
ldl	伪
lnb	商
lnr	侧
llk	倍
lgm	假
lgn	勇
lgl	预
lgg	偏
lgc	柔
lgv	登
lkp	新
lkf	使
lkn	俩
lkh	站
lkj	代
lkr	便
lky	倒
lhf	架
lhn	傻
lhz	凭
ljq	偷
ljx	您
lxb	侵
lxn	健
lzf	蛋
lzl	伤
lvm	录
lvj	传
lwb	停
lwh	依
gpp	魔
gdg	弱
gnd	阅
gnk	闻
gnw	闹
glg	序
ggn	遍
ggj	展
ghf	属
ghz	庭
gxm	康
gxj	底
gsf	剧
grr	座
kbk	演
kpr	渣
kmm	涉
kmd	顶
kfp	整
kfm	歌
kff	潜
kfd	豆
kft	逼
kfk	或
kfz	游
kdg	洲
kdk	洋
kds	渐
knp	刺
kng	丽
knj	顿
kln	滴
kly	滚
kgn	润
khd	联
kht	洗
khl	聊
khk	恶
khr	激
khv	聚
kxm	妻
kxv	漂
kzd	医
kch	源
